scope,scenario,metric,paired_runs,queue_commit_mean,replan_each_leg_mean,mean_difference_replan_minus_queue,ci95_low,ci95_high,positive_pairs,tied_pairs,negative_pairs
scenario,robot_disturbed,collected_ratio,10,0.6886666666666665,0.7186666666666667,0.029999999999999978,-0.11600000000000002,0.154,8,0,2
scenario,static_calm,collected_ratio,10,0.43533333333333324,0.4920000000000001,0.056666666666666685,0.001333333333333353,0.11800000000000002,6,0,4
scenario,strong_drift,collected_ratio,10,0.8626666666666665,0.8966666666666667,0.03399999999999999,-0.03066666666666664,0.11866666666666666,5,1,4
scenario,weak_drift,collected_ratio,10,0.6473333333333333,0.6980000000000001,0.05066666666666668,-0.0993333333333333,0.19133333333333336,6,0,4
equal_weight_over_scenarios,ALL,collected_ratio,10,0.6585,0.7013333333333333,0.042833333333333314,-0.00916666666666669,0.09283749999999961,6,0,4
scenario,robot_disturbed,remaining_count,10,46.7,42.2,-4.5,-23.3,18.20249999999978,2,0,8
scenario,static_calm,remaining_count,10,84.7,76.2,-8.5,-17.5,-0.3,4,0,6
scenario,strong_drift,remaining_count,10,20.6,15.5,-5.1,-17.7,4.5,4,1,5
scenario,weak_drift,remaining_count,10,52.9,45.3,-7.6,-28.0,15.0,4,0,6
equal_weight_over_scenarios,ALL,remaining_count,10,51.225,44.8,-6.425,-14.025,1.4,4,0,6
scenario,robot_disturbed,complete_cleanup,10,0.0,0.0,0.0,0.0,0.0,0,10,0
scenario,static_calm,complete_cleanup,10,0.0,0.0,0.0,0.0,0.0,0,10,0
scenario,strong_drift,complete_cleanup,10,0.0,0.0,0.0,0.0,0.0,0,10,0
scenario,weak_drift,complete_cleanup,10,0.0,0.0,0.0,0.0,0.0,0,10,0
equal_weight_over_scenarios,ALL,complete_cleanup,10,0.0,0.0,0.0,0.0,0.0,0,10,0
scenario,robot_disturbed,auc_collected_by_path,10,0.30170836876941487,0.3846975429828376,0.08298917421342278,0.02679432611420184,0.13709739722732123,7,0,3
scenario,static_calm,auc_collected_by_path,10,0.24532264588055835,0.26744081730776625,0.02211817142720789,-0.009086944538845542,0.04720859102183177,8,0,2
scenario,strong_drift,auc_collected_by_path,10,0.5230168884986439,0.5804895273185761,0.057472638819932365,0.0189228680222056,0.09658477067009905,8,0,2
scenario,weak_drift,auc_collected_by_path,10,0.2552541176336847,0.325498033229303,0.07024391559561824,0.008755210889972472,0.12085387713610979,8,0,2
equal_weight_over_scenarios,ALL,auc_collected_by_path,10,0.33132550519557546,0.38953148020962075,0.05820597501404531,0.035412973063136025,0.08342703940701392,10,0,0
scenario,robot_disturbed,wasted_path_ratio,10,0.5459343043337472,0.4795782333082955,-0.06635607102545157,-0.17336165067524367,0.0413019606312675,4,0,6
