scenario,seed,horizon_variant,selector_invocations,route_continuations,queue_discarded_points,regime_route_snapshot_coverage,queued_route_assignment_fraction,route_staleness_ratio_mean,route_staleness_ratio_exceedance_fraction,queued_route_staleness_ratio_mean
robot_disturbed,400,queue_commit,128,107,0,1.0,0.5148936170212766,0.22751334062258813,0.01702127659574468,0.44186475244882817
robot_disturbed,400,replan_each_leg,255,0,253,1.0,0.1411764705882353,0.0786582795751747,0.0,0.5571628136574875
robot_disturbed,401,queue_commit,130,57,0,1.0,0.34759358288770054,0.12706121600078357,0.0,0.36554534449456194
robot_disturbed,401,replan_each_leg,245,0,408,1.0,0.23265306122448978,0.16160550449864414,0.02857142857142857,0.6946201509152248
robot_disturbed,402,queue_commit,78,153,0,1.0,0.7445887445887446,0.35375448026415235,0.021645021645021644,0.4751004938431348
robot_disturbed,402,replan_each_leg,327,0,249,1.0,0.11009174311926606,0.06389923013082699,0.0,0.5804180070216787
robot_disturbed,403,queue_commit,166,28,0,1.0,0.18041237113402062,0.06986068942727841,0.0,0.38722782139691464
robot_disturbed,403,replan_each_leg,223,0,103,1.0,0.08520179372197309,0.03976978945725187,0.004484304932735426,0.4667717394193244
robot_disturbed,404,queue_commit,104,166,0,1.0,0.6925925925925925,0.26936607994802414,0.003703703703703704,0.3889242865559706
robot_disturbed,404,replan_each_leg,323,0,350,1.0,0.14860681114551083,0.08860148030826556,0.0,0.5962141279077037
robot_disturbed,405,queue_commit,221,50,0,1.0,0.22509225092250923,0.05763026101904802,0.0,0.25602952026495107
robot_disturbed,405,replan_each_leg,225,0,132,1.0,0.09777777777777778,0.050076861198133746,0.0,0.5121497167990952
robot_disturbed,406,queue_commit,159,61,0,1.0,0.31363636363636366,0.11493348635644296,0.0,0.36645459417996307
robot_disturbed,406,replan_each_leg,253,0,276,1.0,0.15019762845849802,0.09865891727107794,0.0,0.6568606860416505
robot_disturbed,407,queue_commit,40,185,0,1.0,0.92,0.4334486448048474,0.017777777777777778,0.47113983130961673
robot_disturbed,407,replan_each_leg,257,0,358,1.0,0.19066147859922178,0.12721170049973216,0.011673151750972763,0.6672123883353301
robot_disturbed,408,queue_commit,132,77,0,1.0,0.42105263157894735,0.1672045771354759,0.004784688995215311,0.39711087069675527
robot_disturbed,408,replan_each_leg,256,0,141,1.0,0.09765625,0.05012591831223055,0.00390625,0.513289403517241
robot_disturbed,409,queue_commit,216,45,0,1.0,0.19923371647509577,0.0553167069351351,0.0038314176245210726,0.2776473175013512
robot_disturbed,409,replan_each_leg,291,0,173,1.0,0.0859106529209622,0.04161813952739149,0.0,0.484435144098837
static_calm,400,queue_commit,185,26,0,1.0,0.15165876777251186,0.05203164405354524,0.0,0.343083652978064
static_calm,400,replan_each_leg,245,0,54,1.0,0.04081632653061224,0.024656957262571798,0.0,0.604095452933009
static_calm,401,queue_commit,166,41,0,1.0,0.25120772946859904,0.0977425058541489,0.0,0.38909035984247736
static_calm,401,replan_each_leg,226,0,139,1.0,0.09734513274336283,0.05224777254076256,0.004424778761061947,0.5367271179187427
static_calm,402,queue_commit,153,53,0,1.0,0.3058252427184466,0.13106658993954215,0.009708737864077669,0.4285669448816775
static_calm,402,replan_each_leg,200,0,15,1.0,0.04,0.01347548220319902,0.0,0.3368870550799755
static_calm,403,queue_commit,192,35,0,1.0,0.19823788546255505,0.06598321222807217,0.0,0.3328486483504973
static_calm,403,replan_each_leg,227,0,34,1.0,0.030837004405286344,0.013901832453845011,0.0,0.4508165667175454
static_calm,404,queue_commit,157,51,0,1.0,0.3125,0.10151069561500367,0.0,0.32483422596801176
static_calm,404,replan_each_leg,277,0,113,1.0,0.06859205776173286,0.03699889433821588,0.0036101083032490976,0.539404933246621
static_calm,405,queue_commit,155,39,0,1.0,0.23711340206185566,0.12655246808420426,0.02577319587628866,0.5337212784420788
static_calm,405,replan_each_leg,243,0,69,1.0,0.04938271604938271,0.026805360598938267,0.00411522633744856,0.5428085521284999
static_calm,406,queue_commit,192,48,0,1.0,0.2375,0.0819763549197796,0.0,0.34516359966222987
static_calm,406,replan_each_leg,256,0,91,1.0,0.05078125,0.03148154126012203,0.0,0.619944197122403
static_calm,407,queue_commit,161,42,0,1.0,0.2512315270935961,0.0976078703089893,0.0,0.38851760142597697
static_calm,407,replan_each_leg,173,0,52,1.0,0.057803468208092484,0.027018986258336205,0.0,0.4674284622692163
static_calm,408,queue_commit,170,23,0,1.0,0.16062176165803108,0.04365462550702645,0.0,0.27178524912439045
