scope,scenario,metric,paired_runs,queue_commit_mean,replan_each_leg_mean,mean_difference_replan_minus_queue,ci95_low,ci95_high,positive_pairs,tied_pairs,negative_pairs
scenario,robot_disturbed,queued_route_assignment_fraction,10,0.45590958708372503,0.13399336675559348,-0.3219162203281316,-0.46462826711130284,-0.18955826627513864,0,0,10
scenario,static_calm,queued_route_assignment_fraction,10,0.22511477128836402,0.050340032243382515,-0.17477473904498148,-0.20606164451077655,-0.14484325029863465,0,0,10
scenario,strong_drift,queued_route_assignment_fraction,10,0.3711667211644395,0.12419748963004078,-0.24696923153439876,-0.2780348068401254,-0.21432650878173787,0,0,10
scenario,weak_drift,queued_route_assignment_fraction,10,0.5036330799711523,0.12427323088098044,-0.37935984909017184,-0.4807854546140403,-0.29130645842790387,0,0,10
equal_weight_over_scenarios,ALL,queued_route_assignment_fraction,10,0.38895603987692023,0.10820102987749931,-0.2807550099994209,-0.34159063638159837,-0.2245446208892896,0,0,10
scenario,robot_disturbed,route_staleness_ratio_mean,10,0.18760894825137758,0.08002258207787291,-0.10758636617350467,-0.18147668477939732,-0.03977023583587863,1,0,9
scenario,static_calm,route_staleness_ratio_mean,10,0.08466916829883878,0.025499343177017224,-0.05916982512182154,-0.07783579746037306,-0.04281221626997684,0,0,10
scenario,strong_drift,route_staleness_ratio_mean,10,0.14131015655933776,0.07278802996252369,-0.06852212659681407,-0.09794443484756556,-0.03817906054394613,1,0,9
scenario,weak_drift,route_staleness_ratio_mean,10,0.21226963988460218,0.07459522294101967,-0.13767441694358254,-0.19634086382927396,-0.09041010494074737,0,0,10
equal_weight_over_scenarios,ALL,route_staleness_ratio_mean,10,0.1564644782485391,0.06322629453960839,-0.09323818370893072,-0.12437318866772451,-0.06603187934071503,0,0,10
scenario,robot_disturbed,route_staleness_ratio_exceedance_fraction,10,0.00687638863419842,0.004863513525513676,-0.0020128751086847434,-0.009393439894651166,0.006388531473262106,2,2,6
scenario,static_calm,route_staleness_ratio_exceedance_fraction,10,0.003548193374036633,0.0012150113401759605,-0.002333182033860672,-0.0074682646480597956,0.0013581252871042615,2,6,2
scenario,strong_drift,route_staleness_ratio_exceedance_fraction,10,0.0076181602520694796,0.0030664996512666546,-0.004551660600802824,-0.010548010172334482,-0.00016341941028133488,1,4,5
scenario,weak_drift,route_staleness_ratio_exceedance_fraction,10,0.013286319362230842,0.0021019902773457277,-0.011184329084885113,-0.03081153753646948,0.0020760233417786316,3,3,4
equal_weight_over_scenarios,ALL,route_staleness_ratio_exceedance_fraction,10,0.007832265405633844,0.002811753698575504,-0.005020511707058339,-0.010221255497208946,-0.0008426436670623782,3,0,7
