"scenario","profile","mode","seed","stop_reason","collected","collected_ratio","collected_mass_kg","collected_mass_per_meter","path_length_m","sim_time_s","goal_count","evaluated_goal_count","empty_goal_arrivals","empty_goal_arrivals_per_km","wasted_path_to_empty_goals","wasted_path_ratio","wasted_time_to_empty_goals","wasted_time_ratio","goal_success_rate","route_false_visits","capture_contacts","terminal_capture_attempts","successful_captures","missed_capture_count","missed_captures","partial_contact_events","throughput_limit_events","bin_full_events","collection_precision","pushed_away_events","pushed_away_debris_count","info_gain_total","unload_events","auc_collected_by_path","collected_ratio_at_1km","collected_ratio_at_2km","collected_ratio_at_3km","map_precision","map_recall","map_f1","map_iou","map_brier","count_mae","detection_precision","detection_recall","false_detection_count","true_detection_count","camera_detection_precision","camera_detection_recall","camera_false_detection_count","camera_true_detection_count","radar_detection_precision","radar_detection_recall","radar_false_detection_count","radar_true_detection_count","near_range_detection_precision","near_range_detection_count","mid_range_detection_precision","mid_range_detection_count","far_range_detection_precision","far_range_detection_count","horizon_variant","adaptive_replan_after_each_leg","initial_debris_count","remaining_count","complete_cleanup","config_hash","runner","selector_invocations","route_continuations","queue_discarded_points","provenance_id","git_commit_full","source_sha256","environment_sha256"
"static_calm","nominal","adaptive_mission","400","path_budget","68","0.4533333333333333","21.56019039956253","0.0071866162986632","3000.047519383072","5600.0","211","171","113","37.66607004386292","1661.9809730990914","0.5539848826930782","3142.0","0.5610714285714286","0.3391812865497076","21","747","88","68","20","20","652","7","0","0.7727272727272727","0","0","-0.1287573790716812","0","0.2703269672560369","0.2","0.3466666666666667","0.4533333333333333","0.1724137931034483","0.0609756097560975","0.09009009009009","0.0471698113207547","0.0097150123898916","0.0203586322281366","0.9549855274977542","0.7533333333333333","451","9568","0.9918300653594772","0.6466666666666666","25","3035","0.9387843080902428","0.7533333333333333","426","6533","0.985710825865827","4129","0.9598274467511458","3709","0.8885832187070152","2181","queue_commit","False","150","82","0","2a54a9eb649a","run_adaptive_horizon","185","26","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","400","path_budget","80","0.5333333333333333","25.746647274866557","0.0085820750575324","3000.049184173552","5897.0","245","177","114","37.99937701068208","1521.331273541834","0.5071021107145374","2969.0","0.5034763439036798","0.3559322033898305","7","853","102","80","22","22","751","0","0","0.7843137254901961","0","0","-0.1451235339795707","0","0.2939221329873571","0.2266666666666666","0.38","0.5333333333333333","0.1818181818181818","0.0579710144927536","0.0879120879120879","0.0459770114942528","0.0079778864728184","0.0181036384357095","0.9653469108594878","0.96","456","12703","0.9944870565675936","0.8933333333333333","23","4149","0.9518192945365528","0.96","433","8554","0.9895116918844566","5816","0.9694736842105264","4750","0.9035865792518318","2593","replan_each_leg","True","150","70","0","9d57dc497c86","run_adaptive_horizon","245","0","54","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","401","path_budget","62","0.4133333333333333","23.947217361655877","0.007982329286854","3000.028751143372","5257.0","207","170","116","38.66629609992573","1862.558767994522","0.6208469726447332","3156.0","0.6003424006087122","0.3176470588235294","33","784","86","62","24","24","688","10","0","0.7209302325581395","0","0","-0.1222720742944731","0","0.1989390093135919","0.1666666666666666","0.2466666666666666","0.4133333333333333","0.119047619047619","0.1149425287356321","0.1169590643274853","0.062111801242236","0.0127843855408577","0.0311244369393793","0.955439459127228","0.9066666666666666","435","9327","0.9918724601437948","0.7066666666666667","26","3173","0.9376809385951548","0.9066666666666666","409","6154","0.9851851851851852","4185","0.9570123589468028","3722","0.8851752021563343","1855","queue_commit","False","150","88","0","5b8c20a11dcc","run_adaptive_horizon","166","41","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","401","path_budget","68","0.4533333333333333","23.233033621390618","0.007744143289332104","3000.0779625804626","5769.0","226","154","103","34.33244111809895","1667.821188334045","0.555925948970839","3105.0","0.5382215288611545","0.33116883116883117","14","792","90","68","22","22","698","4","0","0.7555555555555555","0","0","-0.14680951446690646","0","0.2402978608413979","0.21333333333333335","0.30666666666666664","0.4533333333333333","0.13636363636363635","0.18292682926829268","0.15624999999999997","0.0847457627118644","0.013520661959327836","0.039452929805014324","0.954641641365351","0.9466666666666667","493","10376","0.9909855769230769","0.8","30","3298","0.9386023073862882","0.9466666666666667","463","7078","0.983743613562471","4306","0.9611392710596186","4143","0.8917355371900827","2420","replan_each_leg","True","150","82","0","c2e4cda7f262","run_adaptive_horizon","226","0","139","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","402","path_budget","73","0.4866666666666667","28.00671359022266","0.009334863103081468","3000.2275642347186","5377.0","206","171","109","36.33057748664579","1585.5417052253138","0.5284738144953831","2890.0","0.5374744281197694","0.36257309941520466","36","834","95","73","22","22","728","11","0","0.7684210526315789","0","0","-0.15285371626149719","0","0.25925308171349803","0.12666666666666668","0.36666666666666664","0.4866666666666667","0.06382978723404255","0.04054054054054054","0.049586776859504134","0.025423728813559324","0.00968352004143261","0.02508834490193985","0.9588989794963019","0.8533333333333334","439","10242","0.9929404542664211","0.78","23","3235","0.9439579684763573","0.8533333333333334","416","7007","0.9874008399440037","4286","0.963040629095675","3815","0.9054263565891473","2580","queue_commit","False","150","77","0","c458f74eda24","run_adaptive_horizon","153","53","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","402","path_budget","64","0.4266666666666667","25.03347635278301","0.008344239176709671","3000.090939705577","5694.0","200","166","111","36.99887844429586","1667.2597764764553","0.5557364126569033","3231.0","0.5674394099051633","0.3313253012048193","1","739","87","64","23","23","652","0","0","0.735632183908046","0","0","-0.16361606061213824","0","0.21647384040267495","0.13333333333333333","0.29333333333333333","0.4266666666666667","0.1724137931034483","0.11904761904761904","0.1408450704225352","0.07575757575757576","0.010811413237860074","0.02862973168377713","0.9625392733424636","0.88","465","11948","0.9940645161290322","0.8133333333333334","23","3852","0.9482314359334739","0.88","442","8096","0.9868287740628167","4935","0.968213058419244","4656","0.9107016300496102","2822","replan_each_leg","True","150","86","0","602c051c58bb","run_adaptive_horizon","200","0","15","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","403","path_budget","67","0.44666666666666666","22.403562830731858","0.007467671051549346","3000.0736074312895","5832.0","227","172","114","37.999067662079334","1571.6309273989852","0.5238641223688644","3098.0","0.5312071330589849","0.3372093023255814","20","783","92","67","25","25","690","1","0","0.7282608695652174","0","0","-0.11017991272126788","0","0.19498151064693742","0.08","0.29333333333333333","0.44666666666666666","0.16216216216216217","0.07407407407407407","0.10169491525423728","0.05357142857142857","0.009961148247163905","0.022143614417445386","0.9526883703772019","0.6733333333333333","513","10330","0.9921568627450981","0.58","28","3542","0.9333150006874742","0.6733333333333333","485","6788","0.9872185027388922","4929","0.9579124579124579","4158","0.8433940774487472","1756","queue_commit","False","150","83","0","26b18caaa031","run_adaptive_horizon","192","35","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","403","path_budget","63","0.42","20.809322073829595","0.006935984661428245","3000.1972451802653","5776.0","227","156","101","33.66445328294789","1400.2834019555494","0.4667304472081182","2732.0","0.4729916897506925","0.3525641025641026","4","705","84","63","21","21","609","12","0","0.75","0","0","-0.10341297974724817","0","0.23256328661723077","0.1","0.36666666666666664","0.42","0.23809523809523808","0.058823529411764705","0.09433962264150943","0.04950495049504951","0.009072091521958637","0.015564403405997108","0.9491311523153092","0.7133333333333334","524","9777","0.9922346850733391","0.58","27","3450","0.927168815943728","0.7133333333333334","497","6327","0.9857142857142858","4690","0.9529715762273901","3870","0.8420448018380241","1741","replan_each_leg","True","150","87","0","8c94ce1e062a","run_adaptive_horizon","227","0","34","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","404","path_budget","68","0.4533333333333333","24.212559862912357","0.00807061128203991","3000.089958092052","5594.0","208","178","120","39.99880059473804","1865.8197581322972","0.6219212704271344","3478.0","0.6217375759742582","0.3258426966292135","29","849","99","68","31","31","745","5","0","0.6868686868686869","0","0","-0.16283765378674742","0","0.28113817044693634","0.24","0.36","0.4533333333333333","0.17105263157894737","0.15853658536585366","0.16455696202531647","0.0896551724137931","0.011384647366639201","0.03291136751941102","0.9658551292681088","0.9133333333333333","453","12814","0.9922032193158954","0.78","31","3945","0.9545797007857066","0.9133333333333333","422","8869","0.9880723355136591","5198","0.9695451040863531","5188","0.9191253037139882","2881","queue_commit","False","150","82","0","a8bee3abfa77","run_adaptive_horizon","157","51","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","404","path_budget","91","0.6066666666666667","32.65350357373732","0.010884134316113658","3000.101121996879","5961.0","277","194","123","40.99861804595797","1278.6543029655243","0.4262037347975947","2688.0","0.4509310518369401","0.36597938144329895","9","1037","123","91","32","32","903","11","0","0.7398373983739838","0","0","-0.1802705229688433","1","0.33531593276203203","0.24666666666666667","0.42","0.6066666666666667","0.13333333333333333","0.13559322033898305","0.13445378151260504","0.07207207207207207","0.00908986790948679","0.02734673056336917","0.9627204703367184","0.8866666666666667","558","14410","0.9908214777420835","0.8066666666666666","40","4318","0.9511781338360038","0.8866666666666667","518","10092","0.9878278758786216","5833","0.9695607056381875","5782","0.9072472412764688","3353","replan_each_leg","True","150","59","0","a3bd56b5a4dd","run_adaptive_horizon","277","0","113","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
