scenario,profile,mode,seed,stop_reason,collected,collected_ratio,collected_mass_kg,collected_mass_per_meter,path_length_m,sim_time_s,goal_count,evaluated_goal_count,empty_goal_arrivals,empty_goal_arrivals_per_km,wasted_path_to_empty_goals,wasted_path_ratio,wasted_time_to_empty_goals,wasted_time_ratio,goal_success_rate,route_false_visits,capture_contacts,terminal_capture_attempts,successful_captures,missed_capture_count,missed_captures,partial_contact_events,throughput_limit_events,bin_full_events,collection_precision,pushed_away_events,pushed_away_debris_count,info_gain_total,unload_events,auc_collected_by_path,collected_ratio_at_1km,collected_ratio_at_2km,collected_ratio_at_3km,map_precision,map_recall,map_f1,map_iou,map_brier,count_mae,detection_precision,detection_recall,false_detection_count,true_detection_count,camera_detection_precision,camera_detection_recall,camera_false_detection_count,camera_true_detection_count,radar_detection_precision,radar_detection_recall,radar_false_detection_count,radar_true_detection_count,near_range_detection_precision,near_range_detection_count,mid_range_detection_precision,mid_range_detection_count,far_range_detection_precision,far_range_detection_count,config_hash,git_commit,git_dirty,runner,oracle_current_collected_ratio,oracle_current_auc_collected_by_path,oracle_current_path_length_m,oracle_gap_collected_ratio,oracle_gap_auc_collected_by_path,collected_ratio_vs_oracle
static_calm,nominal,coverage,0,path_budget,0,0.0,0.0,0.0,3600.25,3658.0,27,26,26,7.221720713839317,3563.25,0.9897229359072287,3618.0,0.9890650628758885,0.0,0,28,0,0,0,0,28,0,0,0.0,0,0,-0.17718785930853453,0,0.0,0.0,0.0,0.0,0.3541666666666667,0.11486486486486487,0.17346938775510207,0.09497206703910614,0.01347043540476902,0.038110679297945885,0.9223963599595552,1.0,307,3649,0.9838362068965517,0.98,15,913,0.9035667107001321,1.0,292,2736,0.9641819941916747,1033,0.9391199517781796,1659,0.8662974683544303,1264,cd5fc40d9b09,912d45a,False,run_experiments,1.0,0.7617948805480809,1817.6240089884316,1.0,0.7617948805480809,0.0
static_calm,nominal,coverage,1,path_budget,0,0.0,0.0,0.0,3600.25,3658.0,27,26,26,7.221720713839317,3563.25,0.9897229359072287,3618.0,0.9890650628758885,0.0,0,84,0,0,0,0,84,0,0,0.0,0,0,-0.165840782549337,0,0.0,0.0,0.0,0.0,0.5,0.12080536912751678,0.19459459459459458,0.10778443113772455,0.01324269823032792,0.031137196624249974,0.926184178889156,1.0,307,3852,0.987027027027027,0.9533333333333334,12,913,0.9087816944959802,1.0,295,2939,0.9684813753581661,1047,0.9347826086956522,1702,0.8843971631205674,1410,83e568594b16,912d45a,False,run_experiments,1.0,0.7900259246238054,1784.1501815319575,1.0,0.7900259246238054,0.0
static_calm,nominal,coverage,2,path_budget,0,0.0,0.0,0.0,3600.25,3658.0,27,26,26,7.221720713839317,3563.25,0.9897229359072287,3618.0,0.9890650628758885,0.0,0,94,0,0,0,0,94,0,0,0.0,0,0,-0.18124875889645117,0,0.0,0.0,0.0,0.0,0.3870967741935484,0.08,0.13259668508287292,0.07100591715976332,0.013263426227861138,0.0315887609139581,0.9302325581395349,1.0,300,4000,0.98568281938326,0.9666666666666667,13,895,0.9153891509433962,1.0,287,3105,0.9628647214854111,1131,0.9427235534774986,1711,0.8902606310013718,1458,d4c969e12156,912d45a,False,run_experiments,1.0,0.7937183934647967,1756.3914166772051,1.0,0.7937183934647967,0.0
static_calm,nominal,lawnmower_survey,0,path_budget,0,0.0,0.0,0.0,3600.25,3658.0,27,26,26,7.221720713839317,3563.25,0.9897229359072287,3618.0,0.9890650628758885,0.0,0,28,0,0,0,0,28,0,0,0.0,0,0,-0.17718785930853453,0,0.0,0.0,0.0,0.0,0.3541666666666667,0.11486486486486487,0.17346938775510207,0.09497206703910614,0.01347043540476902,0.038110679297945885,0.9223963599595552,1.0,307,3649,0.9838362068965517,0.98,15,913,0.9035667107001321,1.0,292,2736,0.9641819941916747,1033,0.9391199517781796,1659,0.8662974683544303,1264,820c17f7b789,912d45a,False,run_experiments,1.0,0.7617948805480809,1817.6240089884316,1.0,0.7617948805480809,0.0
static_calm,nominal,lawnmower_survey,1,path_budget,0,0.0,0.0,0.0,3600.25,3658.0,27,26,26,7.221720713839317,3563.25,0.9897229359072287,3618.0,0.9890650628758885,0.0,0,84,0,0,0,0,84,0,0,0.0,0,0,-0.165840782549337,0,0.0,0.0,0.0,0.0,0.5,0.12080536912751678,0.19459459459459458,0.10778443113772455,0.01324269823032792,0.031137196624249974,0.926184178889156,1.0,307,3852,0.987027027027027,0.9533333333333334,12,913,0.9087816944959802,1.0,295,2939,0.9684813753581661,1047,0.9347826086956522,1702,0.8843971631205674,1410,7c326d0d865f,912d45a,False,run_experiments,1.0,0.7900259246238054,1784.1501815319575,1.0,0.7900259246238054,0.0
static_calm,nominal,lawnmower_survey,2,path_budget,0,0.0,0.0,0.0,3600.25,3658.0,27,26,26,7.221720713839317,3563.25,0.9897229359072287,3618.0,0.9890650628758885,0.0,0,94,0,0,0,0,94,0,0,0.0,0,0,-0.18124875889645117,0,0.0,0.0,0.0,0.0,0.3870967741935484,0.08,0.13259668508287292,0.07100591715976332,0.013263426227861138,0.0315887609139581,0.9302325581395349,1.0,300,4000,0.98568281938326,0.9666666666666667,13,895,0.9153891509433962,1.0,287,3105,0.9628647214854111,1131,0.9427235534774986,1711,0.8902606310013718,1458,9195440e8280,912d45a,False,run_experiments,1.0,0.7937183934647967,1756.3914166772051,1.0,0.7937183934647967,0.0
static_calm,nominal,lawnmower_collect,0,time_budget,0,0.0,0.0,0.0,3194.7000000012067,5401.0,34,33,33,10.329608413931679,3095.2500000011464,0.9688703164616325,5233.0,0.9688946491390483,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.0839899160661942,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014701495973727347,0.01981958475381063,0.791828793774319,0.2,428,1628,0.5972222222222222,0.03333333333333333,29,43,0.7988911290322581,0.2,399,1585,0.20481927710843373,83,0.7864357864357865,693,0.8328125,1280,ae29178a06d5,912d45a,False,run_experiments,1.0,0.7617948805480809,1817.6240089884316,1.0,0.7617948805480809,0.0
static_calm,nominal,lawnmower_collect,1,time_budget,11,0.07333333333333333,4.060171930837208,0.0012709086708722803,3194.7000000012067,5401.0,34,33,27,8.451497793216829,1972.9500000007952,0.6175697248568097,3347.0,0.6197000555452694,0.18181818181818182,0,111,13,11,2,2,98,0,0,0.8461538461538461,0,0,-0.16009239879177256,0,0.03890916666665837,0.02666666666666667,0.04,0.07333333333333333,0.2564102564102564,0.07246376811594203,0.11299435028248588,0.059880239520958084,0.015003274760980616,0.029750831594582267,0.9471834976765272,0.44666666666666666,466,8357,0.9819958847736625,0.2733333333333333,35,1909,0.9373455444105248,0.44666666666666666,431,6448,0.9712722298221614,2193,0.9572004028197382,3972,0.9123401053423627,2658,87e633ead7ad,912d45a,False,run_experiments,1.0,0.7900259246238054,1784.1501815319575,0.9266666666666666,0.751116757957147,0.07333333333333333
static_calm,nominal,lawnmower_collect,2,time_budget,7,0.04666666666666667,2.8911020240930596,0.0009049682361698963,3194.7000000012067,5401.0,34,33,27,8.451497793216829,1973.2500000006535,0.617663630387801,3348.0,0.6198852064432513,0.18181818181818182,0,71,8,7,1,1,63,0,0,0.875,0,0,-0.1535574380604794,0,0.021805277777771144,0.006666666666666667,0.02666666666666667,0.04,0.18421052631578946,0.04895104895104895,0.07734806629834254,0.040229885057471264,0.0160753804511602,0.030602341286459965,0.9308463580064877,0.44666666666666666,469,6313,0.9777411376751854,0.16666666666666666,27,1186,0.920632070389657,0.44666666666666666,442,5127,0.9569657184536834,1371,0.9410887397464579,2682,0.9076584829607915,2729,6e835c29214d,912d45a,False,run_experiments,1.0,0.7937183934647967,1756.3914166772051,0.9533333333333334,0.7719131156870255,0.04666666666666667
static_calm,nominal,greedy,0,time_budget,34,0.22666666666666666,12.575217725151724,0.00355071450398345,3541.6020384190083,5401.0,218,217,183,51.67153113614433,3058.9049064918418,0.8637065580234855,4725.0,0.8748379929642659,0.15668202764976957,0,555,51,34,17,17,499,5,0,0.6666666666666666,0,0,-0.10668042180802009,0,0.10020141832157861,0.06,0.09333333333333334,0.18,0.1836734693877551,0.23478260869565218,0.20610687022900764,0.1148936170212766,0.017944676282526238,0.048770499853532635,0.9516978594643057,0.5933333333333334,431,8492,0.993439226519337,0.5666666666666667,19,2877,0.9316409490625519,0.5933333333333334,412,5615,0.9893238434163701,3934,0.9522184300341296,3516,0.8499660556687033,1473,f219772ae3e6,912d45a,False,run_experiments,1.0,0.7617948805480809,1817.6240089884316,0.7733333333333333,0.6615934622265023,0.22666666666666666
