scenario,profile,mode,seed,stop_reason,collected,collected_ratio,collected_mass_kg,collected_mass_per_meter,path_length_m,sim_time_s,goal_count,evaluated_goal_count,empty_goal_arrivals,empty_goal_arrivals_per_km,wasted_path_to_empty_goals,wasted_path_ratio,wasted_time_to_empty_goals,wasted_time_ratio,goal_success_rate,route_false_visits,capture_contacts,terminal_capture_attempts,successful_captures,missed_capture_count,missed_captures,partial_contact_events,throughput_limit_events,bin_full_events,collection_precision,pushed_away_events,pushed_away_debris_count,info_gain_total,unload_events,auc_collected_by_path,collected_ratio_at_1km,collected_ratio_at_2km,collected_ratio_at_3km,map_precision,map_recall,map_f1,map_iou,map_brier,count_mae,detection_precision,detection_recall,false_detection_count,true_detection_count,camera_detection_precision,camera_detection_recall,camera_false_detection_count,camera_true_detection_count,radar_detection_precision,radar_detection_recall,radar_false_detection_count,radar_true_detection_count,near_range_detection_precision,near_range_detection_count,mid_range_detection_precision,mid_range_detection_count,far_range_detection_precision,far_range_detection_count,phase,path_budget_m,safety_tmax_s,world_area_m2,collection_coverage_ratio,drift_speed_mps,drift_per_update_width,drift_per_60s_width,camera_sigma_eff_m,radar_sigma_eff_m,camera_capture_uncertainty_ratio,radar_capture_uncertainty_ratio,expected_camera_clutter_per_scan,expected_radar_clutter_per_scan,config_hash,git_commit,git_dirty,runner,oracle_current_collected_ratio,oracle_current_auc_collected_by_path,oracle_current_path_length_m,oracle_gap_collected_ratio,oracle_gap_auc_collected_by_path,collected_ratio_vs_oracle,best_fixed_auc_collected_by_path,best_fixed_collected_ratio,delta_vs_best_fixed_auc,delta_vs_best_fixed_collected_ratio,gain_vs_best_fixed_auc,gain_vs_best_fixed_collected_ratio,regret_to_best_fixed_auc,regret_to_best_fixed_collected_ratio
static_calm,nominal,belief_horizon,320,path_budget,69,0.46,24.166386737534904,0.008055346132358842,3000.043243388013,5916.0,248,153,96,31.999538743843292,1569.502163961587,0.5231598469191113,2964.0,0.5010141987829615,0.37254901960784315,0,783,93,69,24,24,690,0,0,0.7419354838709677,0,0,-0.15962070531063843,0,0.2873856149520256,0.23333333333333334,0.38666666666666666,0.46,0.18604651162790697,0.09876543209876543,0.12903225806451613,0.06896551724137931,0.010231181916463772,0.026133028701347344,0.9471374630064292,1.0,518,9281,0.9923385625684057,0.8933333333333333,21,2720,0.9295834514026636,1.0,497,6561,0.9820408163265306,3675,0.9540229885057471,3741,0.8825010490977759,2383,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,082fa8016135,0641409,True,run_layer1,1.0,0.6959876371049071,1943.1221695936936,0.54,0.4086020221528815,0.46,0.2873856149520256,0.46,0.0,0.0,0.0,0.0,-0.0,-0.0
static_calm,nominal,belief_horizon,321,path_budget,69,0.46,23.468566801808908,0.007822572854023732,3000.1084348785935,5766.0,236,165,104,34.66541368669183,1690.7361504672697,0.5635583470287764,3152.0,0.5466527922303156,0.3696969696969697,0,811,93,69,24,24,686,32,0,0.7419354838709677,0,0,-0.1678750829551683,0,0.22762616918495102,0.16666666666666666,0.30666666666666664,0.46,0.16129032258064516,0.37037037037037035,0.2247191011235955,0.12658227848101267,0.01645694255143401,0.05723226773551313,0.966303581224042,0.9933333333333333,430,12331,0.9928861788617886,0.9066666666666666,28,3908,0.9544475920679887,0.9933333333333333,402,8423,0.9885316403850092,4883,0.9685823754789272,5220,0.9209932279909706,2658,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,882f4b00f76f,0641409,True,run_layer1,1.0,0.7265811470825022,1764.8596313831385,0.54,0.49895497789755117,0.46,0.22762616918495102,0.46,0.0,0.0,0.0,0.0,-0.0,-0.0
static_calm,nominal,adaptive_mission,320,path_budget,67,0.44666666666666666,22.4118619967514,0.007470416430252445,3000.082017649188,5709.0,226,163,106,35.33236737409591,1508.7048700909409,0.5028878748032148,2889.0,0.5060430898581187,0.3496932515337423,28,807,93,67,26,26,710,4,0,0.7204301075268817,0,0,-0.15153137024522306,0,0.2617125360022063,0.22,0.32666666666666666,0.44666666666666666,0.21739130434782608,0.060240963855421686,0.09433962264150943,0.04950495049504951,0.009337469740646396,0.018398633776844066,0.9526671675432006,0.8666666666666667,504,10144,0.9915004903563256,0.7866666666666666,26,3033,0.9370140993543287,0.8666666666666667,478,7111,0.98291015625,4096,0.9611069558713538,4011,0.8905942542306179,2541,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,594ed4ade50c,0641409,True,run_layer1,1.0,0.6959876371049071,1943.1221695936936,0.5533333333333333,0.4342751011027008,0.44666666666666666,0.2873856149520256,0.46,-0.025673078949819295,-0.013333333333333364,0.0,0.0,0.025673078949819295,0.013333333333333364
static_calm,nominal,adaptive_mission,321,path_budget,56,0.37333333333333335,18.487802213317327,0.006162488680432141,3000.054551340917,5571.0,231,161,111,36.999327212362516,1708.098847444234,0.5693559294382747,3085.0,0.5537605456830013,0.3105590062111801,31,757,82,56,26,26,647,28,0,0.6829268292682927,0,0,-0.16949246291984763,0,0.18951050159269303,0.14,0.23333333333333334,0.37333333333333335,0.1457286432160804,0.3118279569892473,0.19863013698630136,0.11026615969581749,0.018523252572966796,0.06150609145150949,0.961590070446159,0.9733333333333334,458,11466,0.9926275434974934,0.8066666666666666,25,3366,0.9492558303058714,0.9733333333333334,433,8100,0.9878384580082606,4358,0.9647132955261499,4761,0.9155080213903743,2805,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,9cf7e300f5dc,0641409,True,run_layer1,1.0,0.7265811470825022,1764.8596313831385,0.6266666666666667,0.5370706454898092,0.37333333333333335,0.22762616918495102,0.46,-0.038115667592257985,-0.08666666666666667,0.0,0.0,0.038115667592257985,0.08666666666666667
static_calm,nominal,adaptive_mission_no_route,320,path_budget,76,0.5066666666666667,27.282020922723305,0.009093701888519346,3000.100647368529,5678.0,234,173,108,35.99879227209587,1701.9053326266946,0.5672827457037093,3235.0,0.5697428672067629,0.37572254335260113,0,850,101,76,25,25,749,0,0,0.7524752475247525,0,0,-0.1812195464570268,1,0.2950056047825029,0.25333333333333335,0.4,0.5066666666666667,0.09375,0.1232876712328767,0.10650887573964497,0.05625,0.012975123133320287,0.037155067644527966,0.9487023519870236,0.8466666666666667,506,9358,0.9926134365107281,0.82,21,2822,0.9309215211508333,0.8466666666666667,485,6536,0.984562150652116,3757,0.9497542326597488,3662,0.8920245398773006,2445,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,77263b330a5c,0641409,True,run_layer1,1.0,0.6959876371049071,1943.1221695936936,0.4933333333333333,0.4009820323224042,0.5066666666666667,0.2873856149520256,0.46,0.007619989830477292,0.04666666666666669,0.007619989830477292,0.04666666666666669,0.0,0.0
static_calm,nominal,adaptive_mission_no_route,321,path_budget,67,0.44666666666666666,21.645175224275985,0.007215002930570768,3000.023067567024,5597.0,220,175,116,38.666369353644455,1975.5390184309533,0.658507942751616,3559.0,0.6358763623369662,0.33714285714285713,0,731,83,67,16,16,648,0,0,0.8072289156626506,0,0,-0.18761353968791367,0,0.27780389325396204,0.22,0.42,0.44666666666666666,0.25,0.19753086419753085,0.2206896551724138,0.12403100775193798,0.00992129328743481,0.02526164620731867,0.9595158953379357,1.0,475,11258,0.9913613345248734,0.92,29,3328,0.9467526265520535,1.0,446,7930,0.9863407620416966,4173,0.9617154811715481,4780,0.9154676258992805,2780,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,6cfac7443946,0641409,True,run_layer1,1.0,0.7265811470825022,1764.8596313831385,0.5533333333333333,0.44877725382854017,0.44666666666666666,0.22762616918495102,0.46,0.050177724069011026,-0.013333333333333364,0.050177724069011026,0.0,0.0,0.013333333333333364
static_calm,nominal,adaptive_mission_no_orienteering,320,path_budget,73,0.4866666666666667,24.634615883573986,0.00821132436526547,3000.078280646213,5803.0,260,204,139,46.332124363788125,1638.3529851301082,0.546103411934041,3222.0,0.5552300534206445,0.31862745098039214,44,799,92,73,19,19,703,4,0,0.7934782608695652,0,0,-0.17988186643753787,0,0.28106896351459704,0.22,0.37333333333333335,0.4866666666666667,0.1411764705882353,0.15584415584415584,0.14814814814814814,0.08,0.011597940312805338,0.03157489552891321,0.9532278751603249,1.0,547,11148,0.9889148191365228,0.9533333333333334,38,3390,0.9384299020200798,1.0,509,7758,0.9807527801539777,4676,0.9630044843049327,4460,0.8858929269245799,2559,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,0db7b7beee76,0641409,True,run_layer1,1.0,0.6959876371049071,1943.1221695936936,0.5133333333333333,0.41491867359031004,0.4866666666666667,0.2873856149520256,0.46,-0.006316651437428544,0.026666666666666672,0.0,0.026666666666666672,0.006316651437428544,0.0
static_calm,nominal,adaptive_mission_no_orienteering,321,path_budget,56,0.37333333333333335,18.487802213317327,0.006162488680432141,3000.054551340917,5571.0,231,161,111,36.999327212362516,1708.098847444234,0.5693559294382747,3085.0,0.5537605456830013,0.3105590062111801,31,757,82,56,26,26,647,28,0,0.6829268292682927,0,0,-0.16949246291984763,0,0.18951050159269303,0.14,0.23333333333333334,0.37333333333333335,0.1457286432160804,0.3118279569892473,0.19863013698630136,0.11026615969581749,0.018523252572966796,0.06150609145150949,0.961590070446159,0.9733333333333334,458,11466,0.9926275434974934,0.8066666666666666,25,3366,0.9492558303058714,0.9733333333333334,433,8100,0.9878384580082606,4358,0.9647132955261499,4761,0.9155080213903743,2805,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,12befc7379c3,0641409,True,run_layer1,1.0,0.7265811470825022,1764.8596313831385,0.6266666666666667,0.5370706454898092,0.37333333333333335,0.22762616918495102,0.46,-0.038115667592257985,-0.08666666666666667,0.0,0.0,0.038115667592257985,0.08666666666666667
static_calm,nominal,adaptive_mission_no_local_exploit,320,path_budget,71,0.47333333333333333,23.60220831795673,0.007867183819690484,3000.083493521994,5660.0,241,177,115,38.332266501354596,1528.4407008656594,0.5094660545834753,2870.0,0.5070671378091873,0.3502824858757062,38,844,96,71,25,25,744,4,0,0.7395833333333334,0,0,-0.18464392585613415,0,0.25775906558542183,0.22,0.3,0.47333333333333333,0.1262135922330097,0.16455696202531644,0.14285714285714285,0.07692307692307693,0.013343194688517905,0.038743929368737474,0.9540397124272509,1.0,537,11147,0.9914454277286135,0.94,29,3361,0.9387509042681457,1.0,508,7786,0.9856954225352113,4544,0.9610825318720644,4471,0.8883476957662045,2669,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,4ff4d01579a2,0641409,True,run_layer1,1.0,0.6959876371049071,1943.1221695936936,0.5266666666666666,0.43822857151948524,0.47333333333333333,0.2873856149520256,0.46,-0.02962654936660375,0.013333333333333308,0.0,0.013333333333333308,0.02962654936660375,0.0
static_calm,nominal,adaptive_mission_no_local_exploit,321,path_budget,65,0.43333333333333335,21.377494231102194,0.0071254784148740225,3000.1486197022105,5496.0,238,174,116,38.66475121872928,1660.0035076531674,0.5533070917726524,2951.0,0.5369359534206696,0.3333333333333333,52,892,93,65,28,28,764,35,0,0.6989247311827957,0,0,-0.1767267980956041,0,0.19449889770498893,0.14,0.24666666666666667,0.43333333333333335,0.14893617021276595,0.3333333333333333,0.20588235294117646,0.11475409836065574,0.01712586634387854,0.057888628293554595,0.9665855752718947,1.0,467,13509,0.9944564955410943,0.8933333333333333,23,4126,0.954818357586242,1.0,444,9383,0.9901201084850833,5162,0.9716237519705728,5709,0.9181964573268921,3105,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,61ac7d512d92,0641409,True,run_layer1,1.0,0.7265811470825022,1764.8596313831385,0.5666666666666667,0.5320822493775133,0.43333333333333335,0.22762616918495102,0.46,-0.033127271479962084,-0.026666666666666672,0.0,0.0,0.033127271479962084,0.026666666666666672
