scenario,mode,seed,adaptive_selected_policy,count,share
robot_disturbed,adaptive_mission,300,belief_horizon,499,0.9960079840319361
robot_disturbed,adaptive_mission,300,belief_orienteering,2,0.003992015968063872
robot_disturbed,adaptive_mission,301,belief_horizon,520,0.9774436090225563
robot_disturbed,adaptive_mission,301,belief_orienteering,12,0.022556390977443608
robot_disturbed,adaptive_mission,302,belief_horizon,638,0.9906832298136646
robot_disturbed,adaptive_mission,302,belief_orienteering,6,0.009316770186335404
static_calm,adaptive_mission,300,belief_horizon,524,0.9562043795620438
static_calm,adaptive_mission,300,confirmed_route,14,0.025547445255474453
static_calm,adaptive_mission,300,belief_orienteering,6,0.010948905109489052
static_calm,adaptive_mission,300,local_exploit,4,0.0072992700729927005
static_calm,adaptive_mission,301,belief_horizon,401,0.909297052154195
static_calm,adaptive_mission,301,local_exploit,38,0.08616780045351474
static_calm,adaptive_mission,301,belief_orienteering,2,0.0045351473922902496
static_calm,adaptive_mission,302,belief_horizon,391,0.9513381995133819
static_calm,adaptive_mission,302,local_exploit,14,0.0340632603406326
static_calm,adaptive_mission,302,belief_orienteering,6,0.014598540145985401
strong_drift,adaptive_mission,300,belief_horizon,492,1.0
strong_drift,adaptive_mission,301,belief_horizon,639,1.0
strong_drift,adaptive_mission,302,belief_horizon,546,1.0
weak_drift,adaptive_mission,300,belief_horizon,608,0.9712460063897763
weak_drift,adaptive_mission,300,local_exploit,18,0.02875399361022364
weak_drift,adaptive_mission,301,belief_horizon,614,0.9504643962848297
weak_drift,adaptive_mission,301,local_exploit,20,0.030959752321981424
weak_drift,adaptive_mission,301,confirmed_route,12,0.018575851393188854
weak_drift,adaptive_mission,302,belief_horizon,572,0.9862068965517241
weak_drift,adaptive_mission,302,local_exploit,6,0.010344827586206896
weak_drift,adaptive_mission,302,belief_orienteering,2,0.0034482758620689655
