scenario,profile,mode,seed,stop_reason,collected,collected_ratio,collected_mass_kg,collected_mass_per_meter,path_length_m,sim_time_s,goal_count,evaluated_goal_count,empty_goal_arrivals,empty_goal_arrivals_per_km,wasted_path_to_empty_goals,wasted_path_ratio,wasted_time_to_empty_goals,wasted_time_ratio,goal_success_rate,route_false_visits,capture_contacts,terminal_capture_attempts,successful_captures,missed_capture_count,missed_captures,partial_contact_events,throughput_limit_events,bin_full_events,collection_precision,pushed_away_events,pushed_away_debris_count,info_gain_total,unload_events,auc_collected_by_path,collected_ratio_at_1km,collected_ratio_at_2km,collected_ratio_at_3km,map_precision,map_recall,map_f1,map_iou,map_brier,count_mae,detection_precision,detection_recall,false_detection_count,true_detection_count,camera_detection_precision,camera_detection_recall,camera_false_detection_count,camera_true_detection_count,radar_detection_precision,radar_detection_recall,radar_false_detection_count,radar_true_detection_count,near_range_detection_precision,near_range_detection_count,mid_range_detection_precision,mid_range_detection_count,far_range_detection_precision,far_range_detection_count,phase,path_budget_m,safety_tmax_s,world_area_m2,collection_coverage_ratio,drift_speed_mps,drift_per_update_width,drift_per_60s_width,camera_sigma_eff_m,radar_sigma_eff_m,camera_capture_uncertainty_ratio,radar_capture_uncertainty_ratio,expected_camera_clutter_per_scan,expected_radar_clutter_per_scan,config_hash,git_commit,git_dirty,runner
static_calm,nominal,adaptive_mission,300,path_budget,94,0.6266666666666667,30.417690041305065,0.010139168933884536,3000.018072452747,5874.0,275,193,120,39.999759035414975,1455.5467576002693,0.48517932973991956,2870.0,0.4885938032005448,0.37823834196891193,5,1073,127,94,33,33,935,11,0,0.7401574803149606,0,0,-0.1796560048002825,1,0.3390594440628384,0.22,0.48,0.6266666666666667,0.13725490196078433,0.2545454545454545,0.17834394904458598,0.0979020979020979,0.010977022858958844,0.038548245134269986,0.9697747362418021,1.0,530,17005,0.9935546875,0.96,33,5087,0.9599677809101893,1.0,497,11918,0.9906456065020702,6521,0.9752361866590323,6986,0.9265143992055611,4028,trace,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,026b5e38d103,0641409,False,run_layer1
static_calm,nominal,adaptive_mission,301,path_budget,65,0.43333333333333335,21.31310345787758,0.007104025741211206,3000.144458125765,5789.0,221,172,117,38.99812213478935,1814.7658613560068,0.6048928265573312,3531.0,0.6099499049922267,0.31976744186046513,0,720,84,65,19,19,636,0,0,0.7738095238095238,0,0,-0.1784411236705198,0,0.2423678200223671,0.16666666666666666,0.30666666666666664,0.43333333333333335,0.16853932584269662,0.1875,0.1775147928994083,0.09740259740259741,0.011912355445342734,0.03777634471579629,0.9457572502685284,0.8533333333333334,505,8805,0.9885355029585798,0.76,31,2673,0.9282470481380564,0.8533333333333334,474,6132,0.980996970531534,3631,0.9568324757004002,3498,0.8693259972489684,2181,trace,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,d37bdf40129f,0641409,False,run_layer1
static_calm,nominal,adaptive_mission,302,path_budget,72,0.48,24.452441149475863,0.008150408550793273,3000.1491332720893,5641.0,206,156,97,32.3317260879654,1752.0887676229079,0.5840005579029353,3202.0,0.5676298528629675,0.3782051282051282,0,800,91,72,19,19,686,23,0,0.7912087912087912,0,0,-0.13364417817432173,0,0.24479535164365612,0.19333333333333333,0.28,0.48,0.1308411214953271,0.18421052631578946,0.1530054644808743,0.08284023668639054,0.013441679774489597,0.03945497757546751,0.9556135770234987,0.9533333333333334,459,9882,0.990625,0.76,30,3170,0.9399243803388881,0.9533333333333334,429,6712,0.9870789109367789,4334,0.9607792207792207,3850,0.8831710709318498,2157,trace,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,15606a39bd2a,0641409,False,run_layer1
weak_drift,nominal,adaptive_mission,300,path_budget,144,0.96,47.46842584900941,0.01582203577774395,3000.14653713404,5665.0,314,146,80,26.665364177985076,1010.0999286910463,0.3366835306837938,1754.0,0.30962047661076786,0.4520547945205479,0,1778,194,144,50,50,1394,190,0,0.7422680412371134,0,0,-0.11050000011968711,1,0.3972884809128844,0.14,0.58,0.96,0.0,0.0,0.0,0.0,0.01949442170316619,0.07357722207495326,0.9708840327787435,1.0,469,15639,0.9954003407155025,1.0,27,5843,0.956827505372143,1.0,442,9796,0.9910362623930463,7363,0.9729952247653548,6073,0.9105538922155688,2672,trace,3000.0,16500.0,40000.0,0.075,0.03405877273185281,0.06811754546370562,2.0435263639111687,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,44a60f0a8a5f,0641409,False,run_layer1
weak_drift,nominal,adaptive_mission,301,path_budget,103,0.6866666666666666,38.39713028106518,0.012799034406316006,3000.0021143874064,5890.0,324,141,86,28.666646462534576,1149.4740680168122,0.38315775262429513,2005.0,0.3404074702886248,0.3900709219858156,6,1191,136,103,33,33,988,67,0,0.7573529411764706,0,0,-0.1022629084106083,1,0.34387237535661425,0.14666666666666667,0.49333333333333335,0.6866666666666666,0.0,0.0,0.0,0.0,0.005848006696843492,0.03145354273984809,0.9631921307313978,0.9933333333333333,464,12142,0.9942743340801593,0.9133333333333333,23,3994,0.9486552567237164,0.9933333333333333,441,8148,0.9903004944845949,5258,0.9623412954594361,4647,0.911884487226953,2701,trace,3000.0,16500.0,40000.0,0.075,0.03405877273185281,0.06811754546370562,2.0435263639111687,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,f8c839c21df5,0641409,False,run_layer1
weak_drift,nominal,adaptive_mission,302,path_budget,102,0.68,35.76129573793374,0.011920422198056854,3000.00244485998,5842.0,291,128,73,24.333313502818545,832.6565945736857,0.27755197199932563,1654.0,0.2831222184183499,0.4296875,0,1297,126,102,24,24,936,235,0,0.8095238095238095,0,0,-0.046015412633652095,1,0.3298308090900382,0.20666666666666667,0.5133333333333333,0.68,0.0,0.0,0.0,0.0,0.013715542510968359,0.05547223116540031,0.9601088646967341,0.9866666666666667,513,12347,0.9935801412368928,0.9133333333333333,30,4643,0.9410040307805057,0.9866666666666667,483,7704,0.9871409485637943,5988,0.9657155025553663,4696,0.8736213235294118,2176,trace,3000.0,16500.0,40000.0,0.075,0.03405877273185281,0.06811754546370562,2.0435263639111687,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,27461eadac82,0641409,False,run_layer1
strong_drift,nominal,adaptive_mission,300,path_budget,138,0.92,45.90100289800161,0.015299179815667946,3000.2263814818507,5198.0,247,144,90,29.997736355997187,1819.260812884983,0.6063745136413428,2873.0,0.5527125817622163,0.375,0,2222,173,138,35,35,1234,815,0,0.7976878612716763,0,0,0.02244833439929359,1,0.5640890592284596,0.5533333333333333,0.7066666666666667,0.92,0.0,0.0,0.0,0.0,0.0016908698085003383,0.01828581582281039,0.9623025039268225,1.0,408,10415,0.9946392673665401,0.9933333333333333,24,4453,0.939489442168295,1.0,384,5962,0.9907031778228533,5916,0.9608079589990955,3317,0.859748427672956,1590,trace,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,4b4ee4f17d4f,0641409,False,run_layer1
strong_drift,nominal,adaptive_mission,301,path_budget,115,0.7666666666666667,43.35168362496396,0.014450490154184143,3000.0147512236094,5784.0,321,106,66,21.999891824892103,1414.867368048729,0.4716201370248764,2199.0,0.3801867219917012,0.37735849056603776,0,1536,148,115,33,33,1098,290,0,0.777027027027027,0,0,0.011073775369415513,1,0.47905975651497096,0.47333333333333333,0.64,0.7666666666666667,0.0,0.0,0.0,0.0,0.0030265055687554725,0.01555312297055988,0.960772104607721,0.9933333333333333,504,12344,0.9949227840067696,0.9466666666666667,24,4703,0.9408939785740672,0.9933333333333333,480,7641,0.988582612950579,6131,0.9591695501730104,4335,0.8921074727120067,2382,trace,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,f3e5989a35ae,0641409,False,run_layer1
strong_drift,nominal,adaptive_mission,302,path_budget,136,0.9066666666666666,49.712160948779285,0.01656962963146977,3000.1974729938293,5311.0,274,111,67,22.33186335336194,1156.3688605106045,0.3854309161045623,1854.0,0.3490868009791,0.3963963963963964,0,2057,187,136,51,51,1391,479,0,0.7272727272727273,0,0,-0.02297496617692628,1,0.5075640850068448,0.49333333333333335,0.74,0.9066666666666666,0.0,0.0,0.0,0.0,0.009326382831494154,0.045322129069388845,0.963195759182128,1.0,486,12719,0.9926236044657097,1.0,37,4979,0.9451703504701429,1.0,449,7740,0.990033731984054,6522,0.9622437971952535,4635,0.8798828125,2048,trace,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,753ad96cf813,0641409,False,run_layer1
robot_disturbed,nominal,adaptive_mission,300,path_budget,126,0.84,41.575983564758516,0.013858270811462542,3000.0845076840264,5271.0,252,125,72,23.99932395757138,1178.5210225447304,0.3928292751508232,1867.0,0.35420223866439005,0.424,0,1730,167,126,41,41,1226,337,0,0.7544910179640718,23022,146,-0.021773345117460333,1,0.5083667286784742,0.36666666666666664,0.84,0.84,0.0,0.0,0.0,0.0,0.002238494944978394,0.015585798942169823,0.9751724137931035,1.0,450,17675,0.996571072319202,1.0,22,6394,0.9634469211717482,1.0,428,11281,0.992965303445809,8387,0.9756982799431908,6337,0.930314613349015,3401,trace,3000.0,16500.0,40000.0,0.075,0.04527692569068708,0.09055385138137416,2.7166155414412247,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,c357e80f22cf,0641409,False,run_layer1
