scenario,mode,seed,adaptive_selected_policy,count,share
robot_disturbed,adaptive_mission,300,belief_horizon,327,0.639921722113503
robot_disturbed,adaptive_mission,300,confirmed_route,176,0.34442270058708413
robot_disturbed,adaptive_mission,300,belief_orienteering,8,0.015655577299412915
robot_disturbed,adaptive_mission,301,confirmed_route,340,0.7053941908713693
robot_disturbed,adaptive_mission,301,belief_horizon,138,0.2863070539419087
robot_disturbed,adaptive_mission,301,belief_orienteering,4,0.008298755186721992
robot_disturbed,adaptive_mission,302,belief_horizon,300,0.5357142857142857
robot_disturbed,adaptive_mission,302,confirmed_route,250,0.44642857142857145
robot_disturbed,adaptive_mission,302,belief_orienteering,6,0.010714285714285714
robot_disturbed,adaptive_mission,302,local_exploit,4,0.007142857142857143
static_calm,adaptive_mission,300,belief_horizon,311,0.5748613678373382
static_calm,adaptive_mission,300,confirmed_route,222,0.41035120147874304
static_calm,adaptive_mission,300,local_exploit,8,0.014787430683918669
static_calm,adaptive_mission,301,belief_horizon,301,0.7941952506596306
static_calm,adaptive_mission,301,local_exploit,40,0.10554089709762533
static_calm,adaptive_mission,301,confirmed_route,26,0.06860158311345646
static_calm,adaptive_mission,301,belief_orienteering,12,0.0316622691292876
static_calm,adaptive_mission,302,belief_horizon,302,0.7531172069825436
static_calm,adaptive_mission,302,confirmed_route,79,0.1970074812967581
static_calm,adaptive_mission,302,local_exploit,18,0.04488778054862843
static_calm,adaptive_mission,302,belief_orienteering,2,0.004987531172069825
strong_drift,adaptive_mission,300,belief_horizon,313,0.704954954954955
strong_drift,adaptive_mission,300,confirmed_route,131,0.29504504504504503
strong_drift,adaptive_mission,301,confirmed_route,269,0.5651260504201681
strong_drift,adaptive_mission,301,belief_horizon,207,0.43487394957983194
strong_drift,adaptive_mission,302,belief_horizon,314,0.623015873015873
strong_drift,adaptive_mission,302,confirmed_route,190,0.376984126984127
weak_drift,adaptive_mission,300,confirmed_route,254,0.5247933884297521
weak_drift,adaptive_mission,300,belief_horizon,228,0.47107438016528924
weak_drift,adaptive_mission,300,belief_orienteering,2,0.004132231404958678
weak_drift,adaptive_mission,301,belief_horizon,262,0.5720524017467249
weak_drift,adaptive_mission,301,confirmed_route,174,0.3799126637554585
weak_drift,adaptive_mission,301,local_exploit,16,0.034934497816593885
weak_drift,adaptive_mission,301,belief_orienteering,6,0.013100436681222707
weak_drift,adaptive_mission,302,belief_horizon,312,0.6446280991735537
weak_drift,adaptive_mission,302,confirmed_route,146,0.30165289256198347
weak_drift,adaptive_mission,302,local_exploit,22,0.045454545454545456
weak_drift,adaptive_mission,302,belief_orienteering,4,0.008264462809917356
