scenario,profile,mode,seed,stop_reason,collected,collected_ratio,collected_mass_kg,collected_mass_per_meter,path_length_m,sim_time_s,goal_count,evaluated_goal_count,empty_goal_arrivals,empty_goal_arrivals_per_km,wasted_path_to_empty_goals,wasted_path_ratio,wasted_time_to_empty_goals,wasted_time_ratio,goal_success_rate,route_false_visits,capture_contacts,terminal_capture_attempts,successful_captures,missed_capture_count,missed_captures,partial_contact_events,throughput_limit_events,bin_full_events,collection_precision,pushed_away_events,pushed_away_debris_count,info_gain_total,unload_events,auc_collected_by_path,collected_ratio_at_1km,collected_ratio_at_2km,collected_ratio_at_3km,map_precision,map_recall,map_f1,map_iou,map_brier,count_mae,detection_precision,detection_recall,false_detection_count,true_detection_count,camera_detection_precision,camera_detection_recall,camera_false_detection_count,camera_true_detection_count,radar_detection_precision,radar_detection_recall,radar_false_detection_count,radar_true_detection_count,near_range_detection_precision,near_range_detection_count,mid_range_detection_precision,mid_range_detection_count,far_range_detection_precision,far_range_detection_count,phase,path_budget_m,safety_tmax_s,world_area_m2,collection_coverage_ratio,drift_speed_mps,drift_per_update_width,drift_per_60s_width,camera_sigma_eff_m,radar_sigma_eff_m,camera_capture_uncertainty_ratio,radar_capture_uncertainty_ratio,expected_camera_clutter_per_scan,expected_radar_clutter_per_scan,config_hash,git_commit,git_dirty,runner
static_calm,nominal,adaptive_mission,300,path_budget,83,0.5533333333333333,26.79119005234277,0.008930029945709203,3000.1232039782453,5385.0,271,222,151,50.331266329252706,1785.5681310040968,0.5951649347721403,3228.0,0.5994428969359331,0.31981981981981983,78,1077,111,83,28,28,941,25,0,0.7477477477477478,0,0,-0.16228290159748884,0,0.292174330590401,0.17333333333333334,0.4266666666666667,0.5533333333333333,0.1506849315068493,0.16666666666666666,0.15827338129496402,0.0859375,0.009832355831622315,0.030443471957811063,0.9762560220233999,1.0,414,17022,0.9938732529197779,1.0,32,5191,0.9687218537623844,1.0,382,11831,0.9919845628618079,6737,0.977545994495147,6903,0.945995785036881,3796,trace,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,921a0e7feec0,0641409,True,run_layer1
static_calm,nominal,adaptive_mission,301,path_budget,50,0.3333333333333333,17.925992593565883,0.005975199201722976,3000.066104640803,5604.0,190,159,112,37.332510715929615,1915.5445638641118,0.6385007853330149,3605.0,0.6432905067808709,0.29559748427672955,9,549,62,50,12,12,485,2,0,0.8064516129032258,0,0,-0.14715979613265773,0,0.1776067955402973,0.12666666666666668,0.22,0.3333333333333333,0.17142857142857143,0.06315789473684211,0.09230769230769231,0.04838709677419355,0.011004193984649482,0.024048990678506566,0.9518453810875737,0.6866666666666666,441,8717,0.9893495625713199,0.5666666666666667,28,2601,0.9367437586154082,0.6866666666666666,413,6116,0.9859839816933639,3496,0.9548201438848921,3475,0.8925468678555099,2187,trace,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,1eb634bbfab2,0641409,True,run_layer1
static_calm,nominal,adaptive_mission,302,path_budget,58,0.38666666666666666,20.75853521619493,0.006919448337031072,3000.027488477758,5332.0,201,175,125,41.66628488575155,2104.0944868722318,0.7013584025324611,3697.0,0.6933608402100525,0.2857142857142857,27,681,72,58,14,14,591,18,0,0.8055555555555556,0,0,-0.12809709058136032,0,0.2431656188420742,0.23333333333333334,0.29333333333333333,0.38666666666666666,0.1952662721893491,0.3707865168539326,0.2558139534883721,0.14666666666666667,0.0159756893702085,0.0554885517820469,0.95776,0.8933333333333333,396,8979,0.9959058341862845,0.7666666666666667,12,2919,0.9404096834264432,0.8933333333333333,384,6060,0.9894842263395093,3994,0.9626567844925884,3508,0.8809396689802456,1873,trace,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,e6cf3ff788f1,0641409,True,run_layer1
weak_drift,nominal,adaptive_mission,300,path_budget,139,0.9266666666666666,46.50496183017502,0.015501451382664446,3000.0392016312976,4911.0,243,208,114,37.99950345249206,1410.6955311353902,0.4702256991736348,2339.0,0.47627774384035837,0.4519230769230769,74,1834,179,139,40,40,1407,248,0,0.776536312849162,0,0,-0.09280596030305414,1,0.34593139382350985,0.10666666666666667,0.54,0.9266666666666666,0.011267605633802818,0.4,0.021917808219178082,0.0110803324099723,0.02566307434489857,0.091235067264167,0.9769304903023732,1.0,383,16219,0.9967872844098749,1.0,19,5895,0.9659431137724551,1.0,364,10324,0.9930972772593634,7823,0.9801270565238638,6139,0.9215909090909091,2640,trace,3000.0,16500.0,40000.0,0.075,0.03405877273185281,0.06811754546370562,2.0435263639111687,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,120def189cb8,0641409,True,run_layer1
weak_drift,nominal,adaptive_mission,301,path_budget,86,0.5733333333333334,33.10895327990705,0.011036223304865112,3000.0256759313297,5097.0,230,179,118,39.33299669622595,1721.6890063528303,0.5738914237186814,2846.0,0.5583676672552482,0.3407821229050279,75,1123,112,86,26,26,856,155,0,0.7678571428571429,0,0,-0.027512068787599236,1,0.265926736854722,0.1,0.44666666666666666,0.5733333333333334,0.0,0.0,0.0,0.0,0.006190651597071081,0.025044693474341774,0.9623873459628471,0.92,409,10465,0.992090395480226,0.7733333333333333,28,3512,0.948050177256613,0.92,381,6953,0.9892131979695431,4728,0.9576513380098727,3849,0.9151066608619939,2297,trace,3000.0,16500.0,40000.0,0.075,0.03405877273185281,0.06811754546370562,2.0435263639111687,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,06f437f3bec5,0641409,True,run_layer1
weak_drift,nominal,adaptive_mission,302,path_budget,119,0.7933333333333333,42.74740080778394,0.014249083363116017,3000.010577412739,5323.0,243,182,119,39.666526810258,1416.942016842421,0.4723123403332852,2603.0,0.4890099567912831,0.34615384615384615,58,1758,160,119,41,41,1228,370,0,0.74375,0,0,-0.03810048747803976,1,0.327911494729088,0.13333333333333333,0.5266666666666666,0.7933333333333333,0.0,0.0,0.0,0.0,0.018407257376891344,0.06801146999912552,0.9683025903975494,1.0,476,14541,0.9954726548352046,1.0,25,5497,0.9525013164823591,1.0,451,9044,0.9926057784472134,7303,0.9655683080340615,5402,0.8979238754325259,2312,trace,3000.0,16500.0,40000.0,0.075,0.03405877273185281,0.06811754546370562,2.0435263639111687,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,637d2c4f229a,0641409,True,run_layer1
strong_drift,nominal,adaptive_mission,300,path_budget,143,0.9533333333333334,47.11340853682492,0.015703809917261658,3000.126006685662,4762.0,223,166,107,35.665168650101606,1861.8557207433128,0.6205925073127732,2968.0,0.6232675346493071,0.35542168674698793,31,2788,188,143,45,45,1493,1107,0,0.7606382978723404,0,0,0.039017691561071904,1,0.588356273866618,0.44666666666666666,0.9333333333333333,0.9533333333333334,0.0,0.0,0.0,0.0,0.0008088727503574077,0.00939267627608883,0.9686500818841145,1.0,402,12421,0.9955954897815363,1.0,25,5651,0.9472505946551001,0.9933333333333333,377,6770,0.992715777899945,7276,0.9678325248914986,3917,0.8631901840490798,1630,trace,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,0288e2664f58,0641409,True,run_layer1
strong_drift,nominal,adaptive_mission,301,path_budget,122,0.8133333333333334,45.790620259879745,0.01526341938220444,3000.0237242558405,4887.0,239,165,105,34.999723219204,1494.9285391761364,0.49830557241574985,2448.0,0.5009208103130756,0.36363636363636365,83,2134,155,122,33,33,1375,604,0,0.7870967741935484,0,0,-0.03600626939057584,1,0.44364986599167194,0.1950442651207537,0.7266666666666667,0.8133333333333334,0.0,0.0,0.0,0.0,0.002594115067100939,0.02364745524553155,0.9718701039737929,1.0,395,13647,0.9962264150943396,0.9733333333333334,20,5280,0.9571036376115305,1.0,375,8367,0.9938210925431822,7121,0.9717894736842105,4750,0.9000460617227084,2171,trace,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,96e377b50ce9,0641409,True,run_layer1
strong_drift,nominal,adaptive_mission,302,path_budget,139,0.9266666666666666,50.08280682549643,0.01669419759911174,3000.012820512033,5116.0,253,159,90,29.99987179542755,1181.4573898970843,0.39381744698525545,2045.0,0.3997263487099296,0.4339622641509434,53,2373,192,139,53,53,1560,621,0,0.7239583333333334,0,0,-0.055995464159525235,1,0.4879438763544526,0.22666666666666666,0.8733333333333333,0.9266666666666666,0.2,0.09090909090909091,0.12500000000000003,0.06666666666666667,0.002974764937988721,0.027945934137664667,0.9668626402993051,1.0,434,12663,0.9961762930167035,1.0,19,4950,0.9489419291338582,1.0,415,7713,0.9933734011403914,6489,0.9624043223773076,4442,0.8965835641735919,2166,trace,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,98806d6c6123,0641409,True,run_layer1
robot_disturbed,nominal,adaptive_mission,300,path_budget,73,0.4866666666666667,25.548702485748883,0.008515620486756527,3000.2161939323346,5140.0,256,197,153,50.99632496799018,2437.8185277851667,0.8125476199733318,3909.0,0.7605058365758754,0.2233502538071066,74,1243,103,73,30,30,861,279,0,0.7087378640776699,18874,137,0.021810522359463628,0,0.29730362378670155,0.05333333333333334,0.4866666666666667,0.4866666666666667,0.0,0.0,0.0,0.0,0.004224120084175588,0.0116298265954269,0.9742895805142084,1.0,437,16560,0.99701230228471,0.9933333333333333,17,5673,0.9628548686654285,1.0,420,10887,0.9930220075147611,7452,0.9758730158730159,6300,0.9281972265023113,3245,trace,3000.0,16500.0,40000.0,0.075,0.04527692569068708,0.09055385138137416,2.7166155414412247,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,2863330b997c,0641409,True,run_layer1
robot_disturbed,nominal,adaptive_mission,301,path_budget,104,0.6933333333333334,39.15838609447993,0.01305237580449447,3000.096433095045,4764.0,242,208,150,49.9983928334106,2148.1884003708456,0.7160397834794497,3343.0,0.7017212426532325,0.27884615384615385,140,1948,143,104,39,39,1154,651,0,0.7272727272727273,20308,143,-0.043879030468646704,1,0.17990879243956778,0.04,0.17333333333333334,0.6933333333333334,0.03543307086614173,0.2647058823529412,0.0625,0.03225806451612903,0.03123618178640837,0.12093736278856511,0.975027079070887,1.0,415,16203,0.9961612284069098,1.0,22,5709,0.9639019013502342,1.0,393,10494,0.9937524404529481,7683,0.976620250988482,5817,0.9259140474663246,3118,trace,3000.0,16500.0,40000.0,0.075,0.04527692569068708,0.09055385138137416,2.7166155414412247,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,54f9af85663b,0641409,True,run_layer1
robot_disturbed,nominal,adaptive_mission,302,path_budget,125,0.8333333333333334,45.25957908543395,0.015086424943111187,3000.020167541451,5288.0,281,214,137,45.66635967393279,1455.5505106380804,0.4851802419151468,2608.0,0.49319213313161875,0.3598130841121495,90,1884,165,125,40,40,1314,405,0,0.7575757575757576,25681,148,-0.05814956671836302,1,0.23752172487140266,0.06,0.28,0.8333333333333334,0.006033182503770739,0.2,0.01171303074670571,0.005891016200294551,0.04769834544469519,0.15594670567115146,0.9761435646200544,1.0,448,18331,0.9971256108077033,1.0,20,6938,0.9637932493020895,1.0,428,11393,0.9946294307196563,9310,0.979323020370654,6529,0.9105442176870748,2940,trace,3000.0,16500.0,40000.0,0.075,0.04527692569068708,0.09055385138137416,2.7166155414412247,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,d37617891a7a,0641409,True,run_layer1
