path_budget_m,scenario,metric,mode_a,mode_b,paired_total,paired_runs,mode_a_reached,mode_b_reached,both_reached,mode_a_reach_rate,mode_b_reach_rate,censored_pairs,mean_difference,ci95_low,ci95_high,cohen_dz,rank_biserial,p_value,p_permutation,p_normal_approx,p_holm
3000.0,robot_disturbed,auc_collected_by_path,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,-0.012814298654799999,-0.028267131136,0.0061074189478,-0.6136830690898456,-0.8,0.25,0.25,0.1699896522120703,1.0
3000.0,robot_disturbed,auc_collected_by_path,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,0.0409945738642,-0.0188174147774,0.10769462959179998,0.5016432619889211,0.4666666666666667,0.375,0.375,0.2619864292565053,1.0
3000.0,robot_disturbed,auc_collected_by_path,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,0.03799130760920001,0.0157630625652,0.05566763005900001,1.4233799246268228,0.8666666666666667,0.125,0.125,0.0014587128845708897,1.0
3000.0,robot_disturbed,auc_collected_by_path,adaptive_mission,confirmed_route,5,5,5,5,5,1.0,1.0,0,0.1068664545492,0.0552193192518,0.1585135898466,1.615288167705727,1.0,0.0625,0.0625,0.00030396864813519997,1.0
3000.0,robot_disturbed,auc_collected_by_path,adaptive_mission,greedy,5,5,5,5,5,1.0,1.0,0,0.24151411364539999,0.1602779571126,0.3412051480014195,2.076969421703575,1.0,0.0625,0.0625,3.413226370874156e-06,1.0
3000.0,robot_disturbed,auc_collected_by_path,adaptive_mission,lawnmower_collect,5,5,5,5,5,1.0,1.0,0,0.31520550602040004,0.24430155480739998,0.388845689875,3.190625689986808,1.0,0.0625,0.0625,9.71667191151937e-13,1.0
3000.0,robot_disturbed,auc_collected_by_path,adaptive_mission,oracle_current_physics,5,5,5,5,5,1.0,1.0,0,-0.3718180456242,-0.431974702982145,-0.31165183072076036,-4.51068136080919,-1.0,0.0625,0.0625,0.0,1.0
3000.0,robot_disturbed,collected_ratio,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,0.0026666666666,-0.029400000000059993,0.035999999999800004,0.06078774642409301,0.0,1.0,1.0,0.891880150224772,1.0
3000.0,robot_disturbed,collected_ratio,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,0.049333333333399995,-0.2066666666666,0.33200000000019997,0.1420112695447005,0.13333333333333333,0.75,0.75,0.7508286945392888,1.0
3000.0,robot_disturbed,collected_ratio,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,0.039999999999999994,-0.0133333333334,0.0986666666668,0.5558892655333619,0.5333333333333333,0.375,0.375,0.21386555404946317,1.0
3000.0,robot_disturbed,collected_ratio,adaptive_mission,confirmed_route,5,5,5,5,5,1.0,1.0,0,0.0813333333332,-0.0026666666668000005,0.1986666666666,0.6133054239828933,0.6,0.375,0.375,0.1702525971207538,1.0
3000.0,robot_disturbed,collected_ratio,adaptive_mission,greedy,5,5,5,5,5,1.0,1.0,0,0.5466666666664,0.3785666666664,0.713333333333,2.4690284610043416,1.0,0.0625,0.0625,3.372379797639269e-08,1.0
3000.0,robot_disturbed,collected_ratio,adaptive_mission,lawnmower_collect,5,5,5,5,5,1.0,1.0,0,0.608,0.4373333333335999,0.7786666666663999,2.712796315082934,1.0,0.0625,0.0625,1.3113758967620015e-09,1.0
3000.0,robot_disturbed,collected_ratio,adaptive_mission,oracle_current_physics,5,5,5,5,5,1.0,1.0,0,-0.30799999999980004,-0.4746666666666,-0.1439999999998,-1.4050408693749148,-1.0,0.0625,0.0625,0.0016793167614239657,1.0
3000.0,robot_disturbed,oracle_gap_auc_collected_by_path,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,0.012814298654799999,-0.0061074189478,0.028267131136,0.6136830690898456,0.8,0.25,0.25,0.1699896522120703,1.0
3000.0,robot_disturbed,oracle_gap_auc_collected_by_path,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,-0.0409945738642,-0.10769462959179998,0.0188174147774,-0.5016432619889211,-0.4666666666666667,0.375,0.375,0.2619864292565053,1.0
3000.0,robot_disturbed,oracle_gap_auc_collected_by_path,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,-0.03799130760920001,-0.05566763005900001,-0.0157630625652,-1.4233799246268228,-0.8666666666666667,0.125,0.125,0.0014587128845708897,1.0
3000.0,robot_disturbed,oracle_gap_auc_collected_by_path,adaptive_mission,confirmed_route,5,5,5,5,5,1.0,1.0,0,-0.1068664545492,-0.1585135898466,-0.0552193192518,-1.615288167705727,-1.0,0.0625,0.0625,0.00030396864813519997,1.0
3000.0,robot_disturbed,oracle_gap_auc_collected_by_path,adaptive_mission,greedy,5,5,5,5,5,1.0,1.0,0,-0.24151411364539999,-0.34120514800142004,-0.1602779571126,-2.076969421703575,-1.0,0.0625,0.0625,3.413226370874156e-06,1.0
3000.0,robot_disturbed,oracle_gap_auc_collected_by_path,adaptive_mission,lawnmower_collect,5,5,5,5,5,1.0,1.0,0,-0.31520550602040004,-0.388845689875,-0.24430155480739998,-3.190625689986808,-1.0,0.0625,0.0625,9.71667191151937e-13,1.0
